consulta,impressoes,cliques,ctr,posicao_media
proposta comercial radar,1,0,0%,8
proposta comercial linha robotizada pdf,1,0,0%,9
etapa ações entregas previstas responsável,1,0,0%,5
etapa ações entregas previstas responsável prazo,1,0,0%,3
