page,google_status,bing_status,bing_discovered
/corretor-de-redacao-enem,indexada,descoberta_nao_rastreada,2026-08-02
/calculadora-de-rescisao,indexada,indexada,
/guias/como-calcular-rescisao,indexada,indexada,
/gerador-de-proposta-comercial,indexada,descoberta_nao_rastreada,2026-07-26
/gerador-de-recibo,indexada,descoberta_nao_rastreada,2026-07-24
/gerador-de-qr-code-pix,indexada,descoberta_nao_rastreada,2026-07-28
/orcamento-com-pix,indexada,descoberta_nao_rastreada,2026-07-24
