País,Cliques,Impressões,CTR,Posição
Brasil,6,720,0.83%,66.28
Colômbia,1,4,25%,9.25
Estados Unidos,0,14,0%,20.93
Peru,0,4,0%,8.25
Equador,0,3,0%,3
Venezuela,0,3,0%,4
Argentina,0,3,0%,9
México,0,2,0%,22
Portugal,0,2,0%,45
Bolívia,0,1,0%,2
Reino Unido,0,1,0%,3
Chile,0,1,0%,6
Emirados Árabes Unidos,0,1,0%,10
Ucrânia,0,1,0%,27
Vietnã,0,1,0%,36
Espanha,0,1,0%,49
Mongólia,0,1,0%,96
